Explore,Meaning,Stable,Change,Growth,Redeem,Contam,Affect,Agency,Commune,Facts,Context,Chrono,pos,neu,neg,compound,pos adj,neuadj,negadj,compoundadj
2,1,0,0,2,1,0,3,1,2,3,3,3,0.333333333,0.666666667,0,0.159441667,0,1,0,0
3,1,1,1,1,0,0,2,0,1,2,2,2,0,1,0,0,0,1,0,0
4,3,1,1,2,0,0,2,2,1,3,2,2,0.05,0.6,0.35,-0.15949,0,1,0,0
1,1,0,0,1,0,0,2,1,2,1,3,3,0.071428571,0.714285714,0.214285714,-0.083014286,0,1,0,0
4,3,1,1,1,1,0,4,2,2,3,2,2,0.25,0.75,0,0.14985,0,1,0,0
1,1,1,1,2,1,0,4,1,1,1,1,1,0.333333333,0.555555556,0.111111111,0.114533333,0,1,0,0
4,3,1,1,3,1,0,1,2,2,3,2,2,0,0.714285714,0.285714286,-0.101257143,0.076923077,0.923076923,0,0.021015385
3,3,1,1,1,0,0,2,0,0,2,1,1,0.357142857,0.571428571,0.071428571,0.128992857,0,1,0,0
1,1,0,0,1,0,0,3,1,2,1,1,2,0.125,0.875,0,0.00965,0.125,0.75,0.125,0.01805
4,3,1,1,3,1,0,4,3,3,3,2,3,0.347826087,0.52173913,0.130434783,0.1093,0.076923077,0.923076923,0,0.032423077
1,1,0,0,2,0,0,3,1,2,2,2,2,0,0.818181818,0.181818182,-0.078354545,0,0.909090909,0.090909091,-0.022727273
4,2,1,0,1,0,0,3,1,2,3,2,2,0.375,0.5,0.125,0.1232875,0,1,0,0
1,0,0,0,1,0,0,3,1,1,1,1,0,0.333333333,0.333333333,0.333333333,-0.0244,0,1,0,0
4,3,1,1,2,0,1,2,0,1,2,2,2,0,0.8,0.2,-0.11438,0,1,0,0
2,1,1,0,1,0,0,2,0,2,2,1,2,0.1,0.7,0.2,0.01408,0.0625,0.9375,0,0.02511875
3,3,0,1,3,1,0,3,2,2,2,3,3,0.3125,0.625,0.0625,0.1219625,0,1,0,0
4,2,1,1,3,1,0,4,3,3,3,2,3,0.3125,0.5625,0.125,0.09408125,0.090909091,0.909090909,0,0.024836364
1,1,0,0,1,1,0,3,2,2,2,2,2,0.6,0.4,0,0.29081,0,0.888888889,0.111111111,-0.019766667
3,2,1,1,2,1,0,4,2,2,2,2,2,0.083333333,0.666666667,0.25,-0.061408333,0.272727273,0.636363636,0.090909091,0.039454545
4,2,0,1,1,0,0,2,1,1,3,2,2,0.285714286,0.5,0.214285714,0.013878571,0,1,0,0
3,3,1,1,3,1,1,4,3,3,2,2,2,0.142857143,0.857142857,0,0.062914286,0,1,0,0
2,1,0,1,1,0,0,2,1,1,1,2,2,0.3,0.6,0.1,0.09312,0,1,0,0
4,3,1,1,3,1,0,4,3,4,2,2,2,0.25,0.666666667,0.083333333,0.0962,0,1,0,0
3,2,0,1,1,1,0,1,1,2,2,2,2,0.5,0.333333333,0.166666667,0.131741667,0.25,0.666666667,0.083333333,0.053058333
2,2,1,1,2,1,0,3,2,2,2,1,1,0.2,0.4,0.4,-0.05735,0.142857143,0.857142857,0,0.039028571
3,2,1,1,3,1,0,4,2,3,2,2,2,0,1,0,0,0.142857143,0.857142857,0,0.060214286
4,3,1,1,4,1,0,5,4,3,1,2,2,0,0.625,0.375,-0.201525,0,1,0,0
3,3,1,1,2,0,0,2,1,1,1,2,2,0.4,0.3,0.3,0.11434,0,0.875,0.125,-0.05735
2,2,1,1,2,0,0,3,1,2,1,1,1,0.4,0.5,0.1,0.09229,0,0.818181818,0.181818182,-0.062763636
3,3,1,0,2,0,1,2,1,1,2,2,2,0,0.833333333,0.166666667,-0.063633333,0,1,0,0
2,1,1,0,2,1,0,3,1,1,2,1,1,0.2,0.733333333,0.066666667,0.059726667,0,1,0,0
2,2,0,0,2,1,0,4,1,1,2,2,2,0.192307692,0.730769231,0.076923077,0.045219231,0.052631579,0.947368421,0,0.026873684
3,2,1,1,1,0,1,2,0,1,2,2,2,0.307692308,0.538461538,0.153846154,0.106561538,0,1,0,0
1,0,0,0,1,0,0,3,0,1,2,1,1,0.142857143,0.714285714,0.142857143,0.028071429,0.2,0.6,0.2,0.01584
3,3,1,1,1,0,0,4,1,1,2,2,2,0,0.727272727,0.272727273,-0.141027273,0,0.8,0.2,-0.08339
4,2,1,1,1,0,1,2,0,1,3,2,2,0.333333333,0.5,0.166666667,0.136333333,0,0.888888889,0.111111111,-0.011411111
2,1,1,1,2,1,0,3,1,1,2,2,2,0,0.636363636,0.363636364,-0.177772727,0.090909091,0.909090909,0,0.036536364
1,0,0,0,1,0,0,2,1,2,3,3,3,0.153846154,0.461538462,0.384615385,-0.052638462,0.066666667,0.866666667,0.066666667,0.019946667
2,1,1,1,2,1,0,4,2,1,2,2,2,0.15,0.75,0.1,-0.00965,0,1,0,0
3,3,1,1,3,1,0,5,3,2,2,2,2,0.1875,0.75,0.0625,0.07099375,0,1,0,0
1,0,1,0,1,0,0,2,0,1,2,2,2,0.166666667,0.666666667,0.166666667,0.028583333,0,0.875,0.125,-0.0425
2,1,0,0,1,1,0,3,1,2,2,2,2,0.25,0.625,0.125,-0.044525,0,1,0,0
2,1,0,0,1,1,0,3,1,2,1,2,1,0.130434783,0.782608696,0.086956522,0.014030435,0.074074074,0.814814815,0.111111111,-0.000337037
1,0,0,0,1,0,0,2,0,1,1,2,2,0,0.75,0.25,-0.112275,0,0.909090909,0.090909091,-0.022727273
2,1,0,1,2,1,0,4,1,2,2,2,2,0.333333333,0.333333333,0.333333333,0.009626667,0,1,0,0
2,2,0,1,1,1,0,4,3,2,2,2,2,0.166666667,0.666666667,0.166666667,-0.01635,0.111111111,0.888888889,0,0.032888889
4,2,1,1,1,1,1,1,4,3,3,3,3,0,0.6,0.4,-0.2009,0.090909091,0.909090909,0,0.030909091
2,2,0,0,1,1,1,1,0,4,1,2,2,0.142857143,0.571428571,0.285714286,-0.089342857,0,0.857142857,0.142857143,-0.014671429
2,2,1,1,1,1,1,4,4,1,2,2,2,0,0.333333333,0.666666667,-0.337433333,0,1,0,0
2,1,1,1,1,1,0,1,3,1,2,2,2,0.142857143,0.714285714,0.142857143,-0.050628571,0,1,0,0
3,2,0,0,2,1,0,3,1,2,2,2,2,0.444444444,0.444444444,0.111111111,0.145255556,,,,
2,0,1,1,1,0,1,3,2,2,1,2,2,0.095238095,0.857142857,0.047619048,0.009495238,0.038461538,0.961538462,0,0.018996154
1,2,1,1,2,1,0,4,2,2,2,2,2,0.3,0.6,0.1,0.0976,0,1,0,0
2,2,1,1,3,1,0,4,2,1,2,2,2,0,1,0,0,0.25,0.5,0.25,-0.0167
2,1,1,0,1,0,0,2,1,1,1,1,2,0.5,0.5,0,0.264325,0,1,0,0
2,0,0,0,1,0,0,2,1,2,1,0,0,0.375,0.5625,0.0625,0.1014625,0.166666667,0.833333333,0,0.054766667
3,2,1,1,1,0,1,2,1,0,2,2,2,0.285714286,0.571428571,0.142857143,0.088957143,0.142857143,0.857142857,0,0.062914286
1,0,0,0,1,0,1,2,0,1,1,1,1,0.25,0.666666667,0.083333333,0.081,0.083333333,0.916666667,0,0.022766667
3,3,1,1,1,0,1,1,0,0,2,2,2,0.357142857,0.571428571,0.071428571,0.102464286,0,0.888888889,0.111111111,-0.011411111
1,1,1,1,2,1,0,3,2,2,2,2,2,0.416666667,0.5,0.083333333,0.151908333,0.333333333,0.666666667,0,0.148544444
3,1,0,0,1,0,1,2,1,1,3,2,2,0,0.8125,0.1875,-0.08484375,0,1,0,0
2,3,1,1,2,1,0,4,1,2,1,1,1,0.157894737,0.736842105,0.105263158,0.012110526,0,1,0,0
1,0,0,0,1,0,0,3,1,1,1,1,1,0.214285714,0.428571429,0.357142857,-0.030371429,0.166666667,0.833333333,0,0.066983333
2,1,1,1,2,1,1,1,1,1,2,2,2,0.043478261,0.913043478,0.043478261,0.015791304,0,1,0,0
1,0,0,0,1,0,0,3,1,1,2,2,2,0.076923077,0.769230769,0.153846154,-0.027792308,0,1,0,0
2,2,1,1,2,1,1,1,2,2,2,2,2,0.166666667,0.666666667,0.166666667,0.0117,0,1,0,0
2,2,1,1,2,1,1,2,2,2,2,2,2,0,0.8,0.2,-0.07636,0,1,0,0
3,3,1,1,3,1,1,3,3,2,2,2,2,0.166666667,0.833333333,0,0.0851,0,1,0,0
3,2,1,1,3,1,1,2,2,2,2,2,2,0.083333333,0.833333333,0.083333333,0.021716667,0,0.933333333,0.066666667,-0.03906
1,1,0,0,1,0,0,3,1,1,2,2,2,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,2,1,1,2,2,2,0.4,0.466666667,0.133333333,0.094013333,0,1,0,0
1,0,0,0,1,0,0,3,2,2,2,1,2,0,1,0,0,0.071428571,0.857142857,0.071428571,-0.013335714
1,1,0,1,2,1,0,4,1,1,2,1,1,0.222222222,0.444444444,0.333333333,-0.055888889,0.111111111,0.888888889,0,0.030355556
3,1,1,1,2,0,1,3,3,1,2,2,2,0.166666667,0.75,0.083333333,0.073208333,0.142857143,0.857142857,0,0.048571429
2,2,1,1,2,1,0,4,1,2,2,2,2,0.076923077,0.769230769,0.153846154,-0.060261538,0,0.928571429,0.071428571,-0.024285714
1,0,0,0,1,0,0,3,1,1,2,0,0,0.076923077,0.923076923,0,0.039276923,0,1,0,0
1,1,0,0,1,1,0,1,1,1,2,1,2,0,0.4,0.6,-0.272,0,0.666666667,0.333333333,-0.136116667
1,1,1,0,1,1,1,2,2,2,2,2,2,0.125,0.75,0.125,0.023375,0.4,0.6,0,0.18202
1,1,0,0,1,0,1,1,0,0,2,2,2,0.1,0.7,0.2,-0.08207,0,1,0,0
1,0,1,1,1,1,0,4,1,1,2,2,2,0,0.666666667,0.333333333,-0.1589,0,1,0,0
2,2,1,1,1,1,1,4,2,1,2,2,2,0,0.666666667,0.333333333,-0.083333333,0,0.8,0.2,-0.02054
1,1,1,1,1,0,0,3,0,0,1,1,1,0,0.777777778,0.222222222,-0.019988889,0,1,0,0
1,1,0,1,2,1,0,4,1,2,2,2,2,0,0.666666667,0.333333333,-0.190633333,0,1,0,0
2,0,0,1,1,1,0,2,1,1,2,0,0,0.294117647,0.647058824,0.058823529,0.055929412,0,1,0,0
2,1,1,1,2,1,0,3,1,1,1,2,2,0.166666667,0.833333333,0,0.063633333,0,0.933333333,0.066666667,-0.030586667
3,3,1,1,2,1,0,4,2,2,2,2,2,0.285714286,0.714285714,0,0.0997,0,1,0,0
1,0,0,0,1,0,0,3,0,1,2,2,2,0,0.777777778,0.222222222,-0.116511111,0,1,0,0
1,1,1,1,2,1,0,4,1,2,1,1,1,0,0.5,0.5,-0.296075,0.058823529,0.823529412,0.117647059,-0.002423529
1,3,1,1,3,1,0,4,3,2,2,2,2,0,0.888888889,0.111111111,-0.069433333,0.090909091,0.909090909,0,0.036536364
2,1,1,1,1,0,0,2,2,1,2,2,2,0.142857143,0.714285714,0.142857143,-0.014757143,0,0.933333333,0.066666667,-0.022666667
1,0,0,0,1,0,1,1,0,2,2,2,2,0.166666667,0.555555556,0.277777778,-0.027955556,0.0625,0.9375,0,0.017075
,,,,,,,,,,,,,0.058823529,0.588235294,0.352941176,-0.126805882,,,,
